"","Assembly.Accession","Assembly.Level","Assembly.Stats.Contig.N50","Assembly.Stats.Scaffold.N50","Organism.Name","Assembly.Submission.Date","file"
"298","GCA_025775025.1","Scaffold",7784,24504187,"Heteromormyrus longilateralis","2022-10-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_025775025.1/GCA_025775025.1_ASM2577502v1_genomic.fna"
"299","GCA_025775045.1","Scaffold",9107,22986,"Hiodon tergisus","2022-10-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_025775045.1/GCA_025775045.1_ASM2577504v1_genomic.fna"
"300","GCA_025775065.1","Scaffold",12019,20608,"Hiodon alosoides","2022-10-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_025775065.1/GCA_025775065.1_ASM2577506v1_genomic.fna"
"301","GCA_025802035.1","Scaffold",8694,23714674,"Hypoplectrus aberrans","2022-10-23","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_025802035.1/GCA_025802035.1_ASM2580203v1_genomic.fna"
"887","GCA_025802075.1","Scaffold",11784,18506042,"Tenebrosternarchus preto","2022-10-23","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_025802075.1/GCA_025802075.1_ASM2580207v1_genomic.fna"
"302","GCA_025802095.1","Scaffold",14905,20566510,"Hippocampus guttulatus","2022-10-23","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_025802095.1/GCA_025802095.1_ASM2580209v1_genomic.fna"
"122","GCA_026122135.1","Scaffold",2156,58718713,"Cathorops aguadulce","2022-11-10","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026122135.1/GCA_026122135.1_ASM2612213v1_genomic.fna"
"123","GCA_026122265.1","Chromosome",3578647,31318865,"Ammodytes dubius","2022-11-15","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026122265.1/GCA_026122265.1_UConn_ADub_2022_genomic.fna"
"707","GCA_026153275.1","Scaffold",2466,56919501,"Sciades herzbergii","2022-11-12","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026153275.1/GCA_026153275.1_ASM2615327v1_genomic.fna"
"124","GCA_026167865.1","Scaffold",3086,55914322,"Aspistor quadriscutis","2022-11-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026167865.1/GCA_026167865.1_ASM2616786v1_genomic.fna"
"303","GCA_026213295.1","Chromosome",358862,27035343,"Gadus chalcogrammus","2022-11-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026213295.1/GCA_026213295.1_NIFS_Gcha_1.0_genomic.fna"
"304","GCA_026230005.1","Scaffold",13138541,50480577,"Gila orcuttii","2022-11-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026230005.1/GCA_026230005.1_fGilOrc1.0.hap1_genomic.fna"
"1026","GCA_026259375.1","Chromosome",22761669,24817500,"Verasper variegatus","2022-11-23","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026259375.1/GCA_026259375.1_ASM2625937v1_genomic.fna"
"888","GCA_026260075.1","Scaffold",4630,6657973,"Sisor rabdophorus","2022-11-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026260075.1/GCA_026260075.1_ASM2626007v1_genomic.fna"
"708","GCA_026260255.1","Scaffold",5863,17862,"Pseudolaguvia tuberculata","2022-11-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026260255.1/GCA_026260255.1_ASM2626025v1_genomic.fna"
"527","GCA_026261665.1","Chromosome",11943,36196323,"Melanotaenia duboulayi","2022-11-23","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026261665.1/GCA_026261665.1_ASM2626166v1_genomic.fna"
"305","GCA_026261675.1","Contig",18090544,NA,"Hippocampus mohnikei","2022-11-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026261675.1/GCA_026261675.1_ASM2626167v1_genomic.fna"
"125","GCA_026413345.1","Scaffold",3050,56391098,"Ariopsis seemanni","2022-11-27","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026413345.1/GCA_026413345.1_ASM2641334v1_genomic.fna"
"306","GCA_026413445.1","Scaffold",4029,14939722,"Dolichallabes microphthalmus","2022-11-27","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026413445.1/GCA_026413445.1_ASM2641344v1_genomic.fna"
"709","GCA_026413485.1","Scaffold",3467,8865367,"Osteogeneiosus militaris","2022-11-27","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026413485.1/GCA_026413485.1_ASM2641348v1_genomic.fna"
"307","GCA_026437355.1","Scaffold",1700290,39256509,"Eucyclogobius newberryi","2022-11-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026437355.1/GCA_026437355.1_fEucNew1.0.hap2_genomic.fna"
"308","GCA_026546735.1","Scaffold",11033,14101,"Forbesichthys agassizii","2022-11-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026546735.1/GCA_026546735.1_ASM2654673v1_genomic.fna"
"310","GCA_026686955.1","Chromosome",5850290,41979993,"Epinephelus cyanopodus","2022-12-06","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026686955.1/GCA_026686955.1_XMU_epcya_1.0_genomic.fna"
"528","GCA_026745465.1","Scaffold",1615666,2146850,"Lota lota","2022-12-08","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026745465.1/GCA_026745465.1_ASM2674546v1_genomic.fna"
"126","GCA_026770725.1","Scaffold",7764,25163258,"Cyphomyrus discorhynchus","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026770725.1/GCA_026770725.1_ASM2677072v1_genomic.fna"
"127","GCA_026770805.1","Scaffold",14144,25477320,"Boulengeromyrus knoepffleri","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026770805.1/GCA_026770805.1_ASM2677080v1_genomic.fna"
"128","GCA_026770825.1","Scaffold",11946,25865133,"Brienomyrus longianalis","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026770825.1/GCA_026770825.1_ASM2677082v1_genomic.fna"
"129","GCA_026770845.1","Scaffold",10917,25121727,"Campylomormyrus tamandua","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026770845.1/GCA_026770845.1_ASM2677084v1_genomic.fna"
"529","GCA_026774385.1","Scaffold",8387,24969488,"Marcusenius ussheri","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026774385.1/GCA_026774385.1_ASM2677438v1_genomic.fna"
"710","GCA_026774405.1","Scaffold",4778,22491685,"Petrocephalus microphthalmus","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026774405.1/GCA_026774405.1_ASM2677440v1_genomic.fna"
"711","GCA_026774425.1","Scaffold",9024,23439854,"Petrocephalus zakoni","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026774425.1/GCA_026774425.1_ASM2677442v1_genomic.fna"
"311","GCA_026776665.1","Scaffold",12594,24897608,"Gnathonemus longibarbis","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026776665.1/GCA_026776665.1_ASM2677666v1_genomic.fna"
"312","GCA_026776725.1","Scaffold",13381,24943675,"Gnathonemus echidnorhynchus","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026776725.1/GCA_026776725.1_ASM2677672v1_genomic.fna"
"313","GCA_026776745.1","Scaffold",11722,25165373,"Genyomyrus donnyi","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026776745.1/GCA_026776745.1_ASM2677674v1_genomic.fna"
"314","GCA_026776945.1","Scaffold",11092,25403056,"Isichthys henryi","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026776945.1/GCA_026776945.1_ASM2677694v1_genomic.fna"
"315","GCA_026777045.1","Scaffold",12228,25464968,"Hyperopisus bebe","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026777045.1/GCA_026777045.1_ASM2677704v1_genomic.fna"
"316","GCA_026777485.1","Scaffold",11887,25178001,"Ivindomyrus marchei","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026777485.1/GCA_026777485.1_ASM2677748v1_genomic.fna"
"317","GCA_026777505.1","Scaffold",12064,25384571,"Ivindomyrus opdenboschi","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026777505.1/GCA_026777505.1_ASM2677750v1_genomic.fna"
"530","GCA_026777985.1","Scaffold",16751,25786443,"Mormyrops attenuatus","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026777985.1/GCA_026777985.1_ASM2677798v1_genomic.fna"
"531","GCA_026778905.1","Scaffold",13718,25638951,"Mormyrops zanclirostris","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026778905.1/GCA_026778905.1_ASM2677890v1_genomic.fna"
"532","GCA_026779145.1","Scaffold",7259,25213000,"Marcusenius schilthuisiae","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026779145.1/GCA_026779145.1_ASM2677914v1_genomic.fna"
"533","GCA_026779585.1","Scaffold",12078,25851764,"Mormyrus proboscirostris","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026779585.1/GCA_026779585.1_ASM2677958v1_genomic.fna"
"534","GCA_026779605.1","Scaffold",12152,25932272,"Mormyrus hasselquistii","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026779605.1/GCA_026779605.1_ASM2677960v1_genomic.fna"
"535","GCA_026780185.1","Scaffold",18076,25443471,"Myomyrus macrops","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026780185.1/GCA_026780185.1_ASM2678018v1_genomic.fna"
"536","GCA_026780345.1","Scaffold",18909,25508218,"Myomyrus pharao","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026780345.1/GCA_026780345.1_ASM2678034v1_genomic.fna"
"712","GCA_026780765.1","Scaffold",11042,22941161,"Petrocephalus schoutedeni","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026780765.1/GCA_026780765.1_ASM2678076v1_genomic.fna"
"713","GCA_026780785.1","Scaffold",12230,25588927,"Paramormyrops hopkinsi","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026780785.1/GCA_026780785.1_ASM2678078v1_genomic.fna"
"714","GCA_026780845.1","Scaffold",11712,23647827,"Petrocephalus sullivani","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026780845.1/GCA_026780845.1_ASM2678084v1_genomic.fna"
"537","GCA_026781065.1","Scaffold",13969,25696302,"Mormyrops boulengeri","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026781065.1/GCA_026781065.1_ASM2678106v1_genomic.fna"
"318","GCA_026781145.1","Scaffold",13411,25271851,"Hippopotamyrus pictus","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026781145.1/GCA_026781145.1_ASM2678114v1_genomic.fna"
"130","GCA_026781215.1","Scaffold",6781,25113271,"Cyphomyrus wilverthi","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026781215.1/GCA_026781215.1_ASM2678121v1_genomic.fna"
"889","GCA_026784285.1","Scaffold",9369,24803833,"Stomatorhinus walkeri","2022-12-09","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026784285.1/GCA_026784285.1_ASM2678428v1_genomic.fna"
"131","GCA_026898505.1","Contig",556002,NA,"Centroberyx gerrardi","2022-12-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026898505.1/GCA_026898505.1_AGI_CSIRO_Cger_v1_genomic.fna"
"319","GCA_026901105.2","Scaffold",201917,202949,"Galaxias olidus","2022-12-14","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026901105.2/GCA_026901105.2_APGP_CSIRO_Goli_CH_v1.1_genomic.fna"
"321","GCA_026937815.1","Chromosome",2285889,30810032,"Etheostoma perlongum","2022-12-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026937815.1/GCA_026937815.1_UBuf_Eper_1.0_genomic.fna"
"715","GCA_026939265.1","Contig",5584306,NA,"Oreonectes daqikongensis","2022-12-16","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_026939265.1/GCA_026939265.1_ASM2693926v1_genomic.fna"
"890","GCA_027122455.1","Scaffold",3016,20572751,"Trisopterus luscus","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027122455.1/GCA_027122455.1_ASM2712245v1_genomic.fna"
"891","GCA_027122555.1","Scaffold",2299,12552015,"Urophycis chuss","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027122555.1/GCA_027122555.1_ASM2712255v1_genomic.fna"
"538","GCA_027122575.1","Scaffold",3412,11846886,"Merluccius polylepis","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027122575.1/GCA_027122575.1_ASM2712257v1_genomic.fna"
"539","GCA_027122695.1","Scaffold",4343,12654737,"Merluccius productus","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027122695.1/GCA_027122695.1_ASM2712269v1_genomic.fna"
"892","GCA_027122715.1","Scaffold",3779,20854992,"Trisopterus minutus","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027122715.1/GCA_027122715.1_ASM2712271v1_genomic.fna"
"540","GCA_027122755.1","Scaffold",2431,11869982,"Merluccius hubbsi","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027122755.1/GCA_027122755.1_ASM2712275v1_genomic.fna"
"322","GCA_027122795.1","Scaffold",2536,11386511,"Enchelyopus cimbrius","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027122795.1/GCA_027122795.1_ASM2712279v1_genomic.fna"
"1027","GCA_027123015.1","Scaffold",1703,11092243,"Urophycis regia","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027123015.1/GCA_027123015.1_ASM2712301v1_genomic.fna"
"541","GCA_027123055.1","Scaffold",1848,7602289,"Merluccius bilinearis","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027123055.1/GCA_027123055.1_ASM2712305v1_genomic.fna"
"1028","GCA_027123135.1","Scaffold",3230,12702846,"Urophycis floridana","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027123135.1/GCA_027123135.1_ASM2712313v1_genomic.fna"
"1029","GCA_027123175.1","Scaffold",3045,13558947,"Urophycis cirrata","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027123175.1/GCA_027123175.1_ASM2712317v1_genomic.fna"
"542","GCA_027123235.1","Scaffold",4003,12610890,"Merluccius paradoxus","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027123235.1/GCA_027123235.1_ASM2712323v1_genomic.fna"
"132","GCA_027123335.1","Chromosome",1159304,36694648,"Amphiprion clarkii","2022-12-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027123335.1/GCA_027123335.1_OIST_Acla_v1_genomic.fna"
"893","GCA_027123545.1","Scaffold",3455,20524175,"Trisopterus esmarkii","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027123545.1/GCA_027123545.1_ASM2712354v1_genomic.fna"
"716","GCA_027123565.1","Scaffold",2329,13566767,"Phycis chesteri","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027123565.1/GCA_027123565.1_ASM2712356v1_genomic.fna"
"543","GCA_027123675.1","Scaffold",4871,20738524,"Molva macrophthalma","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027123675.1/GCA_027123675.1_ASM2712367v1_genomic.fna"
"323","GCA_027123715.1","Scaffold",2798,10749147,"Gaidropsarus macrophthalmus","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027123715.1/GCA_027123715.1_ASM2712371v1_genomic.fna"
"324","GCA_027123975.1","Scaffold",2621,55613161,"Genidens machadoi","2022-12-20","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027123975.1/GCA_027123975.1_ASM2712397v1_genomic.fna"
"325","GCA_027361055.1","Scaffold",2850,28434641,"Cyprinella venusta","2022-12-27","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027361055.1/GCA_027361055.1_ASM2736105v1_genomic.fna"
"894","GCA_027382335.1","Contig",11546956,NA,"Takifugu ocellatus","2022-12-27","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027382335.1/GCA_027382335.1_ASM2738233v1_genomic.fna"
"717","GCA_027409825.1","Chromosome",4898551,34636535,"Scomber japonicus","2022-12-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027409825.1/GCA_027409825.1_fScoJap1.pri_genomic.fna"
"718","GCA_027422405.1","Chromosome",528209,27726705,"Ptychobarbus kaznakovi","2022-12-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027422405.1/GCA_027422405.1_SKLP_Pkaz_1.1_genomic.fna"
"719","GCA_027422415.1","Chromosome",2343183,36061986,"Schizothorax lantsangensis","2022-12-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027422415.1/GCA_027422415.1_SKLP_Slan_1.0_genomic.fna"
"720","GCA_027422435.1","Chromosome",2575971,36056370,"Schizopygopsis pylzovi","2022-12-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027422435.1/GCA_027422435.1_SKLP_Spyl_1.3_genomic.fna"
"721","GCA_027474105.1","Scaffold",7689806,8077358,"Poeciliopsis prolifica","2022-12-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027474105.1/GCA_027474105.1_Auburn_PproV2_genomic.fna"
"722","GCA_027474115.1","Chromosome",1898558,36493036,"Schizopygopsis malacanthus","2022-12-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027474115.1/GCA_027474115.1_SKLP_Smal_1.2_genomic.fna"
"133","GCA_027475355.1","Chromosome",26648257,35417180,"Coilia nasus","2022-12-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027475355.1/GCA_027475355.1_ASM2747535v1_genomic.fna"
"895","GCA_027481765.1","Contig",17052863,NA,"Tenualosa thibaudeaui","2022-12-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027481765.1/GCA_027481765.1_ASM2748176v1_genomic.fna"
"544","GCA_027495735.1","Scaffold",15631,20750,"Lutjanus campechanus","2022-12-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027495735.1/GCA_027495735.1_Lca_v1.0_genomic.fna"
"723","GCA_027497455.1","Scaffold",153497,31118760,"Sardinella longiceps","2022-12-29","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027497455.1/GCA_027497455.1_S_Long_CMFRI_1.1_genomic.fna"
"326","GCA_027497675.1","Scaffold",5329,28478858,"Cyprinella lutrensis","2022-12-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027497675.1/GCA_027497675.1_ASM2749767v1_genomic.fna"
"327","GCA_027497735.1","Scaffold",3726,27913647,"Cyprinella lepida","2022-12-30","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_027497735.1/GCA_027497735.1_ASM2749773v1_genomic.fna"
"545","GCA_900092035.1","Scaffold",38877,21959719,"Leuciscus waleckii","2016-06-28","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900092035.1/GCA_900092035.1_Amur_ide_genome_genomic.fna"
"134","GCA_900246225.5","Chromosome",4438245,38669361,"Astatotilapia calliptera","2021-04-24","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900246225.5/GCA_900246225.5_fAstCal1.3_genomic.fna"
"546","GCA_900291075.1","Scaffold",77605,209126,"Melanogrammus aeglefinus","2018-03-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900291075.1/GCA_900291075.1_MAEA_1_genomic.fna"
"724","GCA_900302275.1","Scaffold",4524,6820,"Osmerus eperlanus","2018-03-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900302275.1/GCA_900302275.1_ASM90030227v1_genomic.fna"
"725","GCA_900302295.1","Scaffold",4177,6391,"Parasudis fraserbrunneri","2018-03-21","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900302295.1/GCA_900302295.1_ASM90030229v1_genomic.fna"
"726","GCA_900302305.1","Scaffold",5803,9571,"Polymixia japonica","2018-03-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900302305.1/GCA_900302305.1_ASM90030230v1_genomic.fna"
"727","GCA_900302315.1","Scaffold",4532,10640,"Phycis blennoides","2018-03-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900302315.1/GCA_900302315.1_ASM90030231v1_genomic.fna"
"547","GCA_900302325.1","Scaffold",3126,3555,"Muraenolepis marmorata","2018-03-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900302325.1/GCA_900302325.1_ASM90030232v1_genomic.fna"
"728","GCA_900302335.1","Scaffold",3458,4502,"Phycis phycis","2018-03-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900302335.1/GCA_900302335.1_ASM90030233v1_genomic.fna"
"548","GCA_900302345.1","Scaffold",4562,7633,"Melanonus zugmayeri","2018-03-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900302345.1/GCA_900302345.1_ASM90030234v1_genomic.fna"
"328","GCA_900302355.1","Scaffold",4843,7082,"Cyttopsis rosea","2018-03-19","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900302355.1/GCA_900302355.1_ASM90030235v1_genomic.fna"
"549","GCA_900302365.1","Scaffold",3353,4291,"Macrourus berglax","2018-03-18","/home/tine/PRDM9_teleost/Teleostei_assemblies/teleostei_assemblies_ncbi_01/ncbi_dataset/data/GCA_900302365.1/GCA_900302365.1_ASM90030236v1_genomic.fna"
